Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
2020,Idaho,"United States Senate election in Idaho, 2020",General,Candidate,False,Independent,Natalie Fleming,"25,329",2.95%
2020,Idaho,"United States Senate election in Idaho, 2020",General,Candidate,False,Constitution Party (United States),Ray Writz,"10,188",1.18%
2020,Idaho,"United States Senate election in Idaho, 2020",General,Total,False,,,"859,827",100.0%
2020,Illinois,"United States Senate election in Illinois, 2020",General,Winning,True,Democratic Party (United States),Dick Durbin,"3,278,930",54.93%
2020,Illinois,"United States Senate election in Illinois, 2020",General,Candidate,False,Republican Party (United States),Mark Curran,"2,319,870",38.87%
2020,Illinois,"United States Senate election in Illinois, 2020",General,Candidate,False,Libertarian Party (United States),Danny Malouf,"75,673",1.27%
2020,Illinois,"United States Senate election in Illinois, 2020",General,Candidate,False,Green Party (United States),David Black,"56,711",0.95%
2020,Illinois,"United States Senate election in Illinois, 2020",General,Write-in,False,,,18,0.00%
2020,Illinois,"United States Senate election in Illinois, 2020",General,Total,False,,,"5,968,901",100.0%
2020,Iowa,2020 United States Senate election in Iowa,General,Winning,True,Republican Party (United States),Joni Ernst,"864,997",51.74%
2020,Iowa,2020 United States Senate election in Iowa,General,Candidate,False,Democratic Party (United States),Theresa Greenfield,"754,859",45.15%
2020,Iowa,2020 United States Senate election in Iowa,General,Candidate,False,Libertarian Party (United States),Rick Stewart,"36,961",2.21%
2020,Iowa,2020 United States Senate election in Iowa,General,Candidate,False,Independent,Suzanne Herzog,"13,800",0.83%
2020,Iowa,2020 United States Senate election in Iowa,General,Write-in,False,,,"1,211",0.07%
2020,Iowa,2020 United States Senate election in Iowa,General,Total,False,,,"1,671,828",100.0%
2020,Kansas,"United States Senate election in Kansas, 2020",General,Winning,False,Republican Party (United States),Roger Marshall,"727,962",53.22%
2020,Kansas,"United States Senate election in Kansas, 2020",General,Candidate,False,Democratic Party (United States),Barbara Bollier,"571,530",41.79%
2020,Kansas,"United States Senate election in Kansas, 2020",General,Candidate,False,Libertarian Party (United States),Jason Buckley,"68,263",4.99%
2020,Kansas,"United States Senate election in Kansas, 2020",General,Total,False,,,"1,367,755",100.0%
2020,Kentucky,2020 United States Senate election in Kentucky,General,Winning,True,Republican Party (United States),Mitch McConnell,"1,233,315",57.76%
2020,Kentucky,2020 United States Senate election in Kentucky,General,Candidate,False,Democratic Party (United States),Amy McGrath,"816,257",38.23%
2020,Kentucky,2020 United States Senate election in Kentucky,General,Candidate,False,Libertarian Party (United States),Brad Barron,"85,386",4.00%
2020,Kentucky,2020 United States Senate election in Kentucky,General,Write-in,False,,,99,0.01%
2020,Kentucky,2020 United States Senate election in Kentucky,General,Total,False,,,"2,135,057",100.00%
2020,Maine,"United States Senate election in Maine, 2020",General,Winning,True,Republican Party (United States),Susan Collins,"417,645",50.98%
2020,Maine,"United States Senate election in Maine, 2020",General,Candidate,False,Democratic Party (United States),Sara Gideon,"347,223",42.39%
2020,Maine,"United States Senate election in Maine, 2020",General,Candidate,False,Independent,Lisa Savage,"40,579",4.95%
