Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage,title,url,website,publisher
1978,North Carolina,1978 North Carolina U.S. Senate Democratic primary election – Second round,Primary,Candidate,False,Democratic Party (United States),"Luther H. Hodges, Jr.","206,223",45.76%,,,,
1978,Oklahoma,1978 Oklahoma U.S. Senate Democratic primary results,Primary,Winning,False,Democratic Party (United States),David Boren,"252,560",45.84%,,,,
1978,Oklahoma,1978 Oklahoma U.S. Senate Democratic primary results,Primary,Winning,False,Democratic Party (United States),Ed Edmondson,"155,626",28.24%,,,,
1978,Oklahoma,1978 Oklahoma U.S. Senate Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Gene Stipe,"114,423",20.77%,,,,
1978,Oklahoma,1978 Oklahoma U.S. Senate Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Dean Bridges,9883,1.79%,,,,
1978,Oklahoma,1978 Oklahoma U.S. Senate Democratic primary results,Primary,Candidate,False,Democratic Party (United States),George Miskovsky,"9,825",1.78%,,,,
1978,Oklahoma,1978 Oklahoma U.S. Senate Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Rosella Pete Saker,"5,162",0.94%,,,,
1978,Oklahoma,1978 Oklahoma U.S. Senate Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Anthony Points,"3,539",0.64%,,,,
1978,Oklahoma,1978 Oklahoma U.S. Senate Democratic primary results,Primary,Total,False,,,"551,018",100.00%,,,,
1978,Oregon,1978 Republican Senate primary,Primary,Winning,True,Republican Party (United States),Mark Hatfield,"159,617",65.66%,,,,
1978,Oregon,1978 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),Bert W. Hawkins,"43,350",17.83%,,,,
1978,Oregon,1978 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),Robert D. Maxwell,"24,294",9.99%,,,,
1978,Oregon,1978 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),Richard L. Schnepel,"15,628",6.43%,,,,
1978,Oregon,1978 Republican Senate primary,Primary,Total,False,,,"243,086",100.00%,,,,
1978,Oregon,1978 Democratic Senate primary,Primary,Winning,False,Democratic Party (United States),Vernon Cook,"151,754",58.32%,,,,
1978,Oregon,1978 Democratic Senate primary,Primary,Candidate,False,Democratic Party (United States),John Sweeney,"41,599",15.99%,,,,
1978,Oregon,1978 Democratic Senate primary,Primary,Candidate,False,Democratic Party (United States),Jack A. Brown,"35,211",13.53%,,,,
1978,Oregon,1978 Democratic Senate primary,Primary,Candidate,False,Democratic Party (United States),Steve Anderson,"30,066",11.56%,,,,
1978,Oregon,1978 Democratic Senate primary,Primary,Candidate,False,Republican Party (United States),"Mark Hatfield (incumbent, write-in)","1,106",0.39%,,,,
1978,Oregon,1978 Democratic Senate primary,Primary,Total,False,,,"260,197",100.00%,,,,
1978,Rhode Island,Democratic primary results,Primary,Winning,True,Democratic Party (United States),Claiborne Pell,"69,729",87.01%,,,,
1978,Rhode Island,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Raymond J. Greiner,"6,076",7.58%,,,,
1978,Rhode Island,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Francis P. Kelley,"4,330",5.41%,,,,
1978,Rhode Island,Democratic primary results,Primary,Total,False,,,"80,135",100.00%,,,,
1978,South Carolina,Democratic Primary,Primary,Winning,False,Democratic Party (United States),Charles D. Ravenel,"205,348",55.95%,,,,
1978,South Carolina,Democratic Primary,Primary,Candidate,False,Democratic Party (United States),John Bolt Culbertson,"69,184",18.85%,,,,
1978,South Carolina,Democratic Primary,Primary,Candidate,False,Democratic Party (United States),Tom Triplett,"50,957",13.88%,,,,
1978,South Carolina,Democratic Primary,Primary,Candidate,False,Democratic Party (United States),Tom McElveen,"41,557",11.32%,,,,
1978,South Carolina,Democratic Primary,Primary,Total,False,,,"367,046",100.00%,,,,
1978,South Dakota,1978 Democratic Senate primary,Primary,Winning,False,Democratic Party (United States),Don Barnett,"37,319",55.12%,,,,
1978,South Dakota,1978 Democratic Senate primary,Primary,Candidate,False,Democratic Party (United States),Kenneth D. Stofferahn,"30,384",44.88%,,,,
1978,South Dakota,1978 Democratic Senate primary,Primary,Total,False,,,"67,703",100.00%,,,,
1978,South Dakota,1978 Republican primary results,Primary,Winning,False,Republican Party (United States),Larry Pressler,"66,893",73.88%,,,,
1978,South Dakota,1978 Republican primary results,Primary,Candidate,False,Republican Party (United States),Ron Williamson,"23,646",26.12%,,,,
1978,South Dakota,1978 Republican primary results,Primary,Total,False,,,"90,539",100.00%,,,,
1978,Tennessee,Republican primary results,Primary,Winning,True,Republican Party (United States),Howard Baker,"205,680",83.44%,,,,
1978,Tennessee,Republican primary results,Primary,Candidate,False,Republican Party (United States),Harvey Howard,"21,154",8.58%,,,,
1978,Tennessee,Republican primary results,Primary,Candidate,False,Republican Party (United States),James Boles,"8,899",3.61%,,,,
1978,Tennessee,Republican primary results,Primary,Candidate,False,Republican Party (United States),Hubert Patty,"3,941",1.60%,,,,
1978,Tennessee,Republican primary results,Primary,Candidate,False,Republican Party (United States),Dayton Seiler,"3,831",1.55%,,,,
1978,Tennessee,Republican primary results,Primary,Candidate,False,Republican Party (United States),Francis Trapp,"2,994",1.22%,,,,
1978,Tennessee,Republican primary results,Primary,Total,False,,,"246,499",100.00%,,,,
1978,Tennessee,Democratic primary results,Primary,Winning,False,Democratic Party (United States),Jane Eskind,"196,156",34.52%,,,,
1978,Tennessee,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Bill Bruce,"170,795",30.06%,,,,
