year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
2000,Arizona,AZ,Greenlee,County,Al Gore,Democratic,1216,41.08,2960,Republican
2000,Arizona,AZ,Greenlee,County,Ralph Nader,Green,68,2.3,2960,Republican
2000,Arizona,AZ,Greenlee,County,Pat Buchanan,Reform,42,1.42,2960,Republican
2000,Arizona,AZ,Greenlee,County,Other,Other,15,0.51,2960,Republican
2000,Arizona,AZ,La Paz,County,George W. Bush,Republican,2543,56.73,4483,Republican
2000,Arizona,AZ,La Paz,County,Al Gore,Democratic,1769,39.46,4483,Republican
2000,Arizona,AZ,La Paz,County,Ralph Nader,Green,91,2.03,4483,Republican
2000,Arizona,AZ,La Paz,County,Pat Buchanan,Reform,53,1.18,4483,Republican
2000,Arizona,AZ,La Paz,County,Other,Other,27,0.61,4483,Republican
2000,Arizona,AZ,Maricopa,County,George W. Bush,Republican,479967,53.23,901699,Republican
2000,Arizona,AZ,Maricopa,County,Al Gore,Democratic,386683,42.88,901699,Republican
2000,Arizona,AZ,Maricopa,County,Ralph Nader,Green,22465,2.49,901699,Republican
2000,Arizona,AZ,Maricopa,County,Pat Buchanan,Reform,7156,0.79,901699,Republican
2000,Arizona,AZ,Maricopa,County,Other,Other,5428,0.6,901699,Republican
2000,Arizona,AZ,Mohave,County,George W. Bush,Republican,24386,55.25,44141,Republican
2000,Arizona,AZ,Mohave,County,Al Gore,Democratic,17470,39.58,44141,Republican
2000,Arizona,AZ,Mohave,County,Ralph Nader,Green,1323,3.0,44141,Republican
2000,Arizona,AZ,Mohave,County,Pat Buchanan,Reform,622,1.41,44141,Republican
2000,Arizona,AZ,Mohave,County,Other,Other,340,0.77,44141,Republican
2000,Arizona,AZ,Navajo,County,George W. Bush,Republican,12386,49.25,25147,Republican
2000,Arizona,AZ,Navajo,County,Al Gore,Democratic,11794,46.9,25147,Republican
2000,Arizona,AZ,Navajo,County,Ralph Nader,Green,517,2.06,25147,Republican
2000,Arizona,AZ,Navajo,County,Pat Buchanan,Reform,266,1.06,25147,Republican
2000,Arizona,AZ,Navajo,County,Other,Other,184,0.73,25147,Republican
2000,Arizona,AZ,Pima,County,George W. Bush,Republican,124579,43.31,287640,Democratic
2000,Arizona,AZ,Pima,County,Al Gore,Democratic,147688,51.34,287640,Democratic
2000,Arizona,AZ,Pima,County,Ralph Nader,Green,12355,4.3,287640,Democratic
2000,Arizona,AZ,Pima,County,Pat Buchanan,Reform,1731,0.6,287640,Democratic
2000,Arizona,AZ,Pima,County,Other,Other,1287,0.44,287640,Democratic
2000,Arizona,AZ,Pinal,County,George W. Bush,Republican,20122,48.73,41290,Republican
2000,Arizona,AZ,Pinal,County,Al Gore,Democratic,19650,47.59,41290,Republican
2000,Arizona,AZ,Pinal,County,Ralph Nader,Green,904,2.19,41290,Republican
2000,Arizona,AZ,Pinal,County,Pat Buchanan,Reform,442,1.07,41290,Republican
2000,Arizona,AZ,Pinal,County,Other,Other,172,0.42,41290,Republican
2000,Arizona,AZ,Santa Cruz,County,George W. Bush,Republican,3344,37.6,8893,Democratic
2000,Arizona,AZ,Santa Cruz,County,Al Gore,Democratic,5233,58.84,8893,Democratic
2000,Arizona,AZ,Santa Cruz,County,Ralph Nader,Green,217,2.44,8893,Democratic
2000,Arizona,AZ,Santa Cruz,County,Pat Buchanan,Reform,44,0.49,8893,Democratic
2000,Arizona,AZ,Santa Cruz,County,Other,Other,55,0.62,8893,Democratic
2000,Arizona,AZ,Yavapai,County,George W. Bush,Republican,40144,58.84,68228,Republican
2000,Arizona,AZ,Yavapai,County,Al Gore,Democratic,24063,35.27,68228,Republican
2000,Arizona,AZ,Yavapai,County,Ralph Nader,Green,2733,4.01,68228,Republican
2000,Arizona,AZ,Yavapai,County,Pat Buchanan,Reform,749,1.1,68228,Republican
2000,Arizona,AZ,Yavapai,County,Other,Other,539,0.79,68228,Republican
2000,Arizona,AZ,Yuma,County,George W. Bush,Republican,15708,54.82,28652,Republican
2000,Arizona,AZ,Yuma,County,Al Gore,Democratic,12055,42.07,28652,Republican
2000,Arizona,AZ,Yuma,County,Ralph Nader,Green,495,1.73,28652,Republican
2000,Arizona,AZ,Yuma,County,Pat Buchanan,Reform,216,0.75,28652,Republican
